english,urdu
"P. 24/2010) Petitioner: Mr. Habib -ul-Wahab -ul-Khairi, ASC, (Const.",P. 24/2010) درخواست گزار: جناب حبیب الوہاب الخیری، ASC، (Const.
"P. 31/2010) In Person For the petitioner: Dr. Abdul Hafeez Pirzada, Sr. ASC, (Const.",P. 31/2010) ذاتی طور پر درخواست گزار کے لیے: ڈاکٹر عبدالحفیظ پیرزادہ، سینئر ASC، (Const.
"P. 40/2010) In Person Barrister Mian Gul Hasan Aurangzeb, ASC Mr. M.S.",P. 40/2010) ذاتی طور پر بیرسٹر میاں گل حسن اورنگزیب، ASC مسٹر M.S.
"Assisted by Mr. Sikandar Bashir Mohmand, ASC Mr. Hamid Ahmed, Adv.",جناب سکندر بشیر مہمند، اے ایس سی جناب حامد احمد، ایڈووکیٹ نے معاونت کی۔
"Barrister Abdul Sattar Pirzada, Adv.",بیرسٹر عبدالستار پیرزادہ، ایڈووکیٹ
"Petitioner: Dr. Muhammad Aslam Khaki , ASC, (Const.",درخواست گزار: ڈاکٹر محمد اسلم خاکی، ASC، (Const.
"P. 41/2010) In Person For the petitioner: Mr. Hashmat Ali Habib , ASC (Const.",P. 41/2010) ذاتی طور پر درخواست گزار کے لیے: جناب حشمت علی حبیب، ASC (Const.
P. 4 2/2010) Mr. M.S.,P. 4 2/2010) Mr. M.S.
"Assisted by Mr. Zahid Hussain Malik, Adv.",معاونت جناب زاہد حسین ملک، ایڈووکیٹ۔
"For the petitioner: Mr. Zulfiqar Ahmed Bhutta , ASC (Const.",درخواست گزار کے لیے: جناب ذوالفقار احمد بھٹہ، اے ایس سی (کانسٹ۔
"P. 4 3/2010) Mr. Ejaz Muhammad Khan , AOR.",P. 4 3/2010) جناب اعجاز محمد خان، اے او آر۔
"For the petitioner: Mr. Rasheed A. Rizvi , Sr.ASC (Const.",درخواست گزار کے لیے: جناب رشید اے رضوی، Sr.ASC (Const.
P. 4 4/2010) Mr. M.S.,P. 4 4/2010) Mr. M.S.
For the Applicant: Nemo (HRC.,درخواست دہندہ کے لیے: نیمو (HRC.
20492 -P/10) For the Applicant: Nemo (HRC.,20492 -P/10) درخواست گزار کے لیے: نیمو (HRC.
"22753 -K/10) On Court notice: Moulvi Anwarul Haq Attorney General for Pakistan Assisted by Mr. Salman Faisal, Adv .",22753 -K/10) عدالتی نوٹس پر: مولوی انوار الحق اٹارنی جنرل برائے پاکستان جناب سلمان فیصل، ایڈووکیٹ کی مدد سے۔
"Syed Ali Mustafa Gillani, Adv.",سید علی مصطفی گیلانی، ایڈووکیٹ
"Mr. Yousaf Leghari, A.G. Sindh With Raja Abdul Ghafoor , AOR Dr. Salahuddin Mengal, A.G. Balochistan Const.P.11/2010 etc.",جناب یوسف لغاری، اے جی سندھ راجہ عبدالغفور کے ساتھ، اے او آر ڈاکٹر صلاح الدین مینگل، اے جی بلوچستان کانسٹیبل P.11/2010 وغیرہ۔
"5 Mr. Mahmood Raza, Addl.",5 جناب محمود رضا، ایڈیشنل۔
"A.G. Balochi stan Khawaja Haris Ahmed, A.G. Punjab Ch.",اے جی بلوچی اسٹین خواجہ حارث احمد، اے جی پنجاب چوہدری
"Khadim Hussain Qaise r, Add l. A.G.Punja b Assisted by Mr. Raza Qureshi, Adv.",خادم حسین قیصر، ایڈ ایل۔ A.G.Punja b اسسٹڈ مسٹر رضا قریشی، Adv.
"Barrister Syeda Maqsooma Zahra Bokhari, Adv.",بیرسٹر سیدہ معصومہ زہرہ بخاری، ایڈووکیٹ۔
"Mr. Asadullah Khan Chamkani , A.G. KPK Syed Arshad Hussain Shah , Addl.",جناب اسد اللہ خان چمکنی، اے جی کے پی کے سید ارشد حسین شاہ، ایڈیشنل۔
"A.G. KPK For the Federation: Mr. Wasim Sajjad , Sr. ASC (Const.",اے جی کے پی کے فیڈریشن کے لیے: مسٹر وسیم سجاد، سینئر اے ایس سی (کانسٹ۔
"P. 11,14 & 40/10) Mr. Mehmood A. Sheikh, AOR Assisted by Mr. Idrees Ashraf, Adv.","P. 11,14 اور 40/10) جناب محمود اے شیخ، اے او آر مسٹر ادریس اشرف، ایڈووکیٹ کی مدد سے۔"
"Barrister Ali Hassan Sajjad, Adv.",بیرسٹر علی حسن سجاد، ایڈووکیٹ
"Barrister Qamar Hassan Sajjad , Adv.",بیرسٹر قمر حسن سجاد، ایڈووکیٹ۔
"P. 12/2010): Sardar Muhammad Ghazi, ASC Mr. Mehmood A. Sheikh, AOR (Const.",P. 12/2010): سردار محمد غازی، ASC جناب محمود اے شیخ، AOR (کانسٹ۔
"P. 13,19, 35/10 & Raja Muhammad Ibrahim Satti, Sr. ASC C.M.Appeal No.","P. 13,19, 35/10 اور راجہ محمد ابراہیم ستی، Sr. ASC C.M.Peal No."
"91/10): Mr. Mehmood A. Sheikh, AOR Assist ed by Ms. Shazia Yasin Hashmi, Adv.",91/10): جناب محمود اے شیخ، اے او آر اسسٹ ایڈ محترمہ شازیہ یاسین ہاشمی، ایڈووکیٹ۔
"Mr. Usman Ibrahim Satti, Adv.",جناب عثمان ابراہیم ستی، ایڈووکیٹ۔
"P. 15/2010): Barrister Bacha Khan, ASC (For Federation) Mr. Mehmood A. Sheikh, AOR (Const.",صفحہ 15/2010): بیرسٹر باچا خان، اے ایس سی (فیڈریشن کے لیے) جناب محمود اے شیخ، اے او آر (کانسٹ۔
AGP & 42/2010): Mr. Mehmood A.,اے جی پی اور 42/2010): مسٹر محمود اے۔
P. 24 & 41 /2010): Ch.,صفحہ 24 اور 41/2010): چوہدری۔
"Nasrullah Warraich, ASC Mr. Mehmood A. Sheikh, AOR (Const.",نصراللہ وڑائچ، اے ایس سی جناب محمود اے شیخ، اے او آر (کانسٹ۔
"P. 31/2010): Mr. Salahuddin Gandapur, ASC Mr. Mehmood A. Sheikh, AOR (Const.",P. 31/2010): جناب صلاح الدین گنڈا پور، ASC جناب محمود اے شیخ، AOR (Const.
"P. 35/2010): Mr. Iftikhar -ul-Haq Khan,ASC Mr. Mehmo od A. Sheikh, AOR (Const.",صفحہ 35/2010): جناب افتخار الحق خان، اے ایس سی جناب محمود اے شیخ، اے او آر (کانسٹ۔
"P. 36/2010): Mr. Mushtaq Masood, ASC Mr. Naeem Masood, ASC Mr. Mehmood A. Sheikh, AOR (Const.",صفحہ 36/2010): جناب مشتاق مسعود، اے ایس سی جناب نعیم مسعود، اے ایس سی جناب محمود اے شیخ، اے او آر (کانسٹ۔
"P. 39/2010): Mr. Iftikhar Ahmed Mian, ASC Mr. Mehmood A. Sheikh, AOR (Const.",صفحہ 39/2010): جناب افتخار احمد میاں، اے ایس سی جناب محمود اے شیخ، اے او آر (کانسٹ۔
"P. 43/2010): Mr. Khurshid Ahmed Sodi, ASC Mr. Mehmood A. Sheikh, AOR Const.P.11/2010 etc.",P. 43/2010): جناب خورشید احمد سودی، ASC جناب محمود اے شیخ، AOR Const.P.11/2010 وغیرہ۔
"of KPK: Syed Iftikhar Hussain Gillani, Sr. ASC (Const.",کے پی کے: سید افتخار حسین گیلانی، سینئر اے ایس سی (کانسٹ۔
"P.13 ,15,20 & Mr. Shaukat Hussain, AOR (Absent) 24/2010) For the Govt.","P.13,15,20 اور جناب شوکت حسین، AOR (غیر حاضر) 24/2010) حکومت کے لیے۔"
"of Punjab: Mr. Shahid Hamid, ASC (Const.",پنجاب کے: جناب شاہد حامد، ASC (کانسٹ۔
"P. 14,18,35,36 Mr. Abi d Aziz Sheikh, ASC & 37/2010) Assisted by Mr. Shujaat Ali Khan,Asst.","صفحہ 14,18,35,36 جناب ابی عزیز شیخ، ASC اور 37/2010) معاونت جناب شجاعت علی خان، معاون۔"
"A.G. Punjab Mr. Tahir Mahmood Khokhar, Adv.",اے جی پنجاب جناب طاہر محمود کھوکھر، ایڈووکیٹ۔
"For the Applicant Sahibzada Ahmed Raza Khan Qasuri, (in CMA No.1599/10) Sr.ASC , In Person For the Applicant Mr. Salman Akram Raja, ASC (in CMA Nos.",درخواست گزار صاحبزادہ احمد رضا خان قصوری کے لیے (CMA نمبر 1599/10 میں) Sr.ASC، درخواست گزار کے لیے ذاتی طور پر جناب سلمان اکرم راجہ، ASC (CMA نمبر میں۔
"1859 & Assisted by 1959/10) Syed Shahab Qutub, Adv.",1859 اور معاونت 1959/10) سید شہاب قطب، ایڈویڈ۔
"For the Applicant Dr. Syed A. S. Pirzada, In person (in CMA No.",درخواست گزار ڈاکٹر سید اے ایس پیرزادہ کے لیے ذاتی طور پر (CMA نمبر
"2681/10) Dates of hearing: 24-31/5, 1–3, 7-10/6, 5-8, 12 -15, 19 - 22, 26 -29/7 , 2-5, 9-12, 16 -19 & 23 - 25,30,31 /8, & 1-2,6-7,27-30/9, 2010.","10/2681 1-2,6-7,27-30/9, 2010۔"
"ORDER Through these petit ions, various petitioners have called in question the provisions of Articles 1, 17, 17(4), 27, 38, 45, 46, 48, 51, 58(2)(b), 62, 63, 63A, 91, 106, 148, 175, 177, 193, 203C, 209, 219, 226, 245, 260 and 267A and insertion of Article 175A brought about throug h 18th Amendment in the Constitution.",آرڈر ان پیٹیٹ آئنوں کے ذریعے، مختلف عرضی گزاروں نے آرٹیکل 1، 17، 17 (4)، 27، 38، 45، 46، 48، 51، 58 (2) (b)، 62، 63، 63A، 91، 106، 419، 419، 417، 45، 46، 58 (2) (بی) کی دفعات پر سوال اٹھایا ہے۔ 203C، 209، 219، 226، 245، 260 اور 267A اور آرٹیکل 175A کے اندراج نے آئین میں 18ویں ترمیم کو عمل میں لایا۔
"It has been argued that the amendments made are violative of the salient features of the Constitution which according to them , are as under : (i) Parliamentary form of government; (ii) Democracy blended with Islam ; (iii) Provision o f fundamental rights; Const.P.11/2010 etc.",یہ استدلال کیا گیا ہے کہ کی گئی ترامیم آئین کی ان نمایاں خصوصیات کی خلاف ورزی ہیں جو ان کے مطابق ذیل میں ہیں: (i) پارلیمانی طرز حکومت؛ (ii) جمہوریت کو اسلام کے ساتھ ملایا گیا ہے۔ (iii) بنیادی حقوق کی فراہمی؛ Const.P.11/2010 وغیرہ
7 (iv) Independence of Judiciary; and (v) Federalism.,7 (iv) عدلیہ کی آزادی؛ اور (v) وفاقیت۔
"Petitioners mostly have challenged the vires of Article 175A of the Constitution, a refer ence to which would be in order :- “175A.","درخواست گزاروں نے زیادہ تر آئین کے آرٹیکل 175A کے خلاف ورزیوں کو چیلنج کیا ہے، جس کا حوالہ ترتیب دیا جائے گا:- ""175A۔"
"Appointment of Judges to the Supreme Court, High Courts and t he Federal Shariat Court.",سپریم کورٹ، ہائی کورٹس اور وفاقی شرعی عدالت میں ججوں کی تقرری۔
"—(1) There shall be a Judicial Commission of Pakistan, hereinafter in this Article referred to as the Commission, for appointment of Judges of the Supreme Court, High Courts and the Federal Shariat Court, as hereinafter provided.",-(1) پاکستان کا ایک جوڈیشل کمیشن ہوگا، جس کے بعد اس آرٹیکل میں کمیشن کہا گیا ہے، سپریم کورٹ، ہائی کورٹس اور وفاقی شرعی عدالت کے ججوں کی تقرری کے لیے، جیسا کہ اس کے بعد فراہم کیا گیا ہے۔
"(2) For appointment of Judges of the Supreme Court, the Commission shall consist of --- (i) Chief Justice of Pakistan; Chairman (ii) two most senior Judges of the Supreme Court; Member (iii) a former Chief Justice or a former Judge of the Supreme Court o f Pakistan to be nominated by the Chief Justice of Pakistan, in consultation with the two member Judges, for a term of two years; Member (iv) Federal Minister for Law and Justice; Member (v) Attorney -General for Pakistan; and Member (vi) a Senior Advoca te of the Supreme Court of Pakistan nominated by the Pakistan Bar Council for a term of two years.",(2) سپریم کورٹ کے ججوں کی تقرری کے لیے کمیشن پر مشتمل ہوگا --- (i) چیف جسٹس آف پاکستان؛ چیئرمین (ii) سپریم کورٹ کے دو سینئر ترین ججز؛ رکن (iii) ایک سابق چیف جسٹس یا سپریم کورٹ آف پاکستان کے سابق جج کو دو سال کی مدت کے لیے دو رکن ججوں کی مشاورت سے چیف جسٹس آف پاکستان کے ذریعے نامزد کیا جائے گا۔ رکن (iv) وفاقی وزیر قانون و انصاف؛ ممبر (v) اٹارنی جنرل برائے پاکستان؛ اور ممبر (vi) سپریم کورٹ آف پاکستان کا ایک سینئر وکیل جو پاکستان بار کونسل کی طرف سے دو سال کی مدت کے لیے نامزد کیا گیا ہے۔
"Member (3) Notwithstanding anything contained in clause (1) or clause (2), the President shall appoint the most senior Judge of the Supreme Court as the Chief Justice of Pakistan.",رکن (3) شق (1) یا شق (2) میں موجود کسی بھی چیز کے باوجود، صدر سپریم کورٹ کے سب سے سینئر جج کو چیف جسٹس آف پاکستان مقرر کرے گا۔
(4) The Commission may make rules regulating its procedure.,(4) کمیشن اپنے طریقہ کار کو ریگولیٹ کرنے کے لیے قواعد بنا سکتا ہے۔
"(5) For appointment of Judges of a High Court, the Commission in clause (2) shall also include the following, namely: - (i) Chief Justice of the High Court to which the appointment is being made; Member (ii) the most senior Judge of that High Court; Member (iii) Provincial Minister for Law; and Member Const.P.11/2010 etc.",(5) ہائی کورٹ کے ججوں کی تقرری کے لیے، شق (2) میں کمیشن میں درج ذیل چیزیں بھی شامل ہوں گی، یعنی: - (i) ہائی کورٹ کا چیف جسٹس جس کی تقرری کی جا رہی ہے؛ رکن (ii) اس ہائی کورٹ کا سب سے سینئر جج؛ رکن (iii) صوبائی وزیر قانون؛ اور ممبر Const.P.11/2010 وغیرہ
"8 (iv) a senior advocate to be nominated by the Provincial Bar Council for a term of two years: Member Provided that f or appointment of the Chief Justice of a High Court, the most senior Judge of the Court shall be substituted by a former Chief Justice or former Judge of that Court, to be nominated by the Chief Justice of Pakistan in consultation with the two member Judge s of the Commission mentioned in clause(2): Provided further that if for any reason the Chief Justice of High Court is not available, he shall also be substituted in the manner as provided in the foregoing proviso.",8 (iv) صوبائی بار کونسل کی طرف سے دو سال کی مدت کے لیے نامزد کیا جانے والا ایک سینئر وکیل: ممبر بشرطیکہ ہائی کورٹ کے چیف جسٹس کی تقرری یا تقرری کے لیے، عدالت کے سب سے سینئر جج کو سابق چیف جسٹس یا اس عدالت کے سابق جج کے ذریعہ نامزد کیا جائے گا، جسے چیف جسٹس آف پاکستان کے ذریعہ نامزد کیا جائے گا: اگر کمیشن کے دو ممبران کے ساتھ مذکور کسی جج نے دعویٰ کیا ہو تو۔ ہائی کورٹ کے چیف جسٹس دستیاب نہیں ہیں، انہیں بھی اس طریقے سے تبدیل کیا جائے گا جیسا کہ مذکورہ بالا شرائط میں فراہم کیا گیا ہے۔
"(6) For appointment of Judges of the I slamabad High Court, the Commission in clause (2) shall also include the following, namely: - (i) Chief Justice of the Islamabad High Court; and Member (ii) most senior Judge of that High Court: Member Provided that for initial appointment of the Judges of the Islamabad High Court, the Chief Justices of the four Provincial High Courts shall also be members of the Commission.",(6) اسلام آباد ہائی کورٹ کے ججوں کی تقرری کے لیے، شق (2) میں کمیشن میں درج ذیل چیزیں بھی شامل ہوں گی، یعنی: - (i) اسلام آباد ہائی کورٹ کے چیف جسٹس؛ اور ممبر (ii) اس ہائی کورٹ کا سب سے سینئر جج: ممبر بشرطیکہ اسلام آباد ہائی کورٹ کے ججوں کی ابتدائی تقرری کے لیے، چاروں صوبائی ہائی کورٹس کے چیف جسٹس بھی کمیشن کے رکن ہوں گے۔
"Provided further that subject to the foregoing proviso, in case of appointment of Chief Justice of Islamabad High Court, the provi sos to clause (5) shall, mutatis mutandis, apply.",مزید یہ کہ مذکورہ بالا شرط کے ساتھ مشروط، اسلام آباد ہائی کورٹ کے چیف جسٹس کی تقرری کی صورت میں، شق (5) کی دفعات، متغیر تبدیلی، لاگو ہوں گی۔
"(7) For appointment of Judges of the Federal Shariat Court, the Commission in clause (2) shall also include the Chief Justice of the Federal Shariat Court and the most senior Judge of that Court as its mem bers: Provided that for appointment of Chief Justice of Federal Shariat Court, the provisos to clause (5) shall, mutatis mutandis, apply.",(7) وفاقی شرعی عدالت کے ججوں کی تقرری کے لیے، شق (2) میں کمیشن وفاقی شرعی عدالت کے چیف جسٹس اور اس عدالت کے سب سے سینئر جج کو بھی اپنے ممبر کے طور پر شامل کرے گا: بشرطیکہ وفاقی شرعی عدالت کے چیف جسٹس کی تقرری کے لیے، شق (5) کی شقوں کا اطلاق ہو گا۔
"(8) The Commission by majority of its total membership shall nominate to the Parliamentary Committee one person, fo r each vacancy of a Judge in the Supreme Court, a High Court or the Federal Shariat Court, as the case may be; (9) The Parliamentary Committee, hereinafter in this Article referred to as the Committee, shall consist of the following eight members, namely: - (i) four members from the Senate; and (ii) four members from the National Assembly.",(8) کمیشن اپنی کل رکنیت کی اکثریت سے پارلیمانی کمیٹی کے لیے سپریم کورٹ، ہائی کورٹ یا وفاقی شریعت کورٹ میں جج کی ہر اسامی کے لیے، جیسا کہ معاملہ ہو، ایک شخص کو نامزد کرے گا۔ (9) پارلیمانی کمیٹی، جس کے بعد اس آرٹیکل میں کمیٹی کہا گیا ہے، مندرجہ ذیل آٹھ اراکین پر مشتمل ہو گی، یعنی: (i) سینیٹ سے چار اراکین؛ اور (ii) قومی اسمبلی سے چار اراکین۔
"(10) Out of the eight members of the Committee, four shall be from the Treasury Benches, two from each House and four from the Opposition Benches, two from each House.",(10) کمیٹی کے آٹھ ارکان میں سے چار ٹریژری بنچوں سے، دو ہر ایوان سے اور چار اپوزیشن بنچوں سے، ہر ایوان سے دو دو۔
The nomination of members from the Treasury Benches shall be made by the Leader of the House and from the Opposition Benches by the Leader of the Opposition.,ٹریژری بنچوں سے ارکان کی نامزدگی قائد ایوان اور اپوزیشن بنچوں سے قائد حزب اختلاف کرے گی۔
"9 (11) Secretary, Senate shall act as the Secretary of the Committee.",9 (11) سیکرٹری، سینیٹ کمیٹی کے سیکرٹری کے طور پر کام کریں گے۔
"(12) The Committee on recei pt of a nomination from the Commission may confirm the nominee by majority of its total membership within fourteen days, failing which the nomination shall be deemed to have been confirmed: Provided that the Committee may not confirm the nomination by three-fourth majority of its total membership within the said period, in which case the Commission shall send another nomination.",(12) کمیشن کی جانب سے نامزدگی موصول ہونے پر کمیٹی چودہ دنوں کے اندر اپنی کل رکنیت کی اکثریت سے نامزد کی تصدیق کر سکتی ہے، جس میں ناکام ہونے کی صورت میں نامزدگی کی توثیق کی گئی سمجھی جائے گی: بشرطیکہ کمیٹی مذکورہ مدت کے اندر اپنی کل رکنیت کی تین چوتھائی اکثریت سے نامزدگی کی تصدیق نہ کرے، ایسی صورت میں کمیشن دوسری نامزدگی بھیجے گا۔
(13) The Committee shall forward the name of the nominee confirmed by it or deemed to have been confirmed to the President for a ppointment.,(13) کمیٹی اس نامزد شخص کا نام جو اس کی طرف سے تصدیق شدہ ہے یا اسے صدر کو تقرری کے لیے بھیجے گی۔
(14) No action or decision taken by the Commission or a Committee shall be invalid or called in question only on the ground of the existence of a vacancy therein or of the absence of any member from any meeting thereof.,(14) کمیشن یا کسی کمیٹی کی طرف سے لیا گیا کوئی بھی اقدام یا فیصلہ صرف اس بنیاد پر باطل یا سوالیہ نشان نہیں ہوگا کہ اس میں کسی جگہ کی موجودگی یا اس کے کسی اجلاس سے کسی رکن کی غیر موجودگی کی وجہ سے۔
(15) The Committee may make rules for regulating its procedure.,(15) کمیٹی اپنے طریقہ کار کو منظم کرنے کے لیے قواعد بنا سکتی ہے۔
It has been argued that this provision is violative of one of the salient features of the Constitution i.e.,یہ دلیل دی گئی ہے کہ یہ شق آئین کی نمایاں خصوصیات میں سے ایک کی خلاف ورزی ہے یعنی
